05月11日 12:50	戈lee	#严书记#严书记 是谁？是盐酥鸡创始人吗 2成都 ​
05月11日 12:43	媒体人廖隆章	【“严书记”的老婆很生气，后果很严重！！！】幼儿园一位老师批评了一名小朋友几句，不料，该小朋友大有来头，是“严书记”的女儿！天呐，这下事情大了。孩子妈妈知道后，勃然大怒，当时就在家长群里发飙起来，然后，老师立即被开除了…… ​​​​@广安这点事 @广安城事 ​
05月11日 14:59	锁忠玉	#严书记的女儿# 恐怕权利炫耀的不止是一个严书记的夫人。这个社会可怎么得了！说是为人民服务做人民公仆，实际上从上到下，都想当大王。 ​
05月11日 14:47	_DiDi_lcz	那个什么严书记的底下很多人刷李刚……可见，有多少人，到现在还不知道我爸是李刚的原话……这个时代确实不太需要真相。 ​
05月11日 14:44	托福不上110我就是猪	严书记夫人，呦呦呦，不得了啊。。。。终于明白为什么有人那么追求权力了 ​
05月11日 14:41	席春雷51430	严书记的夫人很有官威，请问右图房子和车子真有这么多？请严夫人辟谣 ​
05月11日 14:28	散裝車厘子	严书记怎么还没上热搜？ ​
05月11日 14:28	唯美旭婕	广安严书记女儿事件，内定嘉祥小学居然还敢在微信群里面说，这位严夫人是太年轻了吧。。。 ​
05月11日 14:17	富平一鸣	继我爸是李刚之后，又出了一个严书记的女儿… ​
05月11日 16:59	豆豆请你别逼我QAQ	68年女儿才6岁，简直晚婚晚育楷模啊事出一个小时就让校方做出开除老师决定，卧槽，牛逼啊一个市委副书记住在几百万的房子里，开着几百万的车，女儿上着一万多一个月的幼儿园，沃日，有钱淫啊严书记，你还有多少不为人知的小秘密只要锄头挥得好，书记猛料不会少严书记坐好 ​ 展开全文c
05月11日 16:58	人間退潮	我就是严书记的千金，看谁还敢惹我！ ​
05月11日 16:55	杰西卡mio	一个疑问，严书记68年的，女儿为什么才准备上小学 ​
05月11日 16:55	任可小伙	今天看到好多社会黑暗面，遇害的空姐、差点被拐走的小孩、严书记的女儿！心里很难受，痛心、气愤各种情绪夹杂着！暴露了人性中丑陋的一面！每每有事故，我们都要学些防范的本领！可还能怎么防范呢？周周打老虎，可老虎还是会发威！老虎毕竟是老虎，哪有老百姓不怕老虎的呢？哪里出了问题呢？人性的弱点 ​ 展开全文c
05月11日 16:54	良保归来	帮严书记的夫人转！O网页链接 ​
05月11日 16:53	张旭5454	完了，这下要被当汤圆被四川省监察委捞起来了。👉//@张__飞飞:金苹果幼儿园学费我就不说了 住的中海九号公馆在成都房价最贵的地方，4w+，而且基本都是大户型，一套七八百万还是有的，严书记咋这么有钱呢？ 住在这儿的人非富即贵，副厅怕是还不够看吧，但成都的领导们这些年都很低调 ​ 展开全文c
05月11日 16:50	一个哈哈哈哈哈批	带家看没看关于严书记女儿幼儿园的那个微博，有什么看法？ ​
05月11日 16:49	红烧肉崇拜者	那个严书记的太太大概嚣张惯了且疏于学习。实际上现在从严治党的气氛很重。上次我们的上级党委书记开会时教导我们说：新成立的监察委现在都饿得眼冒绿光，就等人开张呢。我们这个小地方，大问题难般发生，所以原来你觉得很小的事情比如说打个牌、洗个头喝个酒这类小事情，在他们看都是积累政绩 ​ 展开全文c
05月11日 16:43	修改昵称你妹啊	#我爸是严书记#严书记好大的官威啊。佩服佩服。 2南京 · 泰山街区 ​
05月11日 16:39	且留王喵共今宵	是谁说的严书记夫人C位出道的xswl ​
05月11日 16:35	钟玮玮	我爸是李刚，砍人心不慌；我爸严书记，毁师无痕迹。突然发现很多高官的下马和东窗事发都离不开一个坑货太太或者子女。#我爸是严书记# ​
05月11日 16:35	ftprieve1206	严书记的夫人生气了 后果很严重！！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈红红火火恍恍惚惚 ​​​
05月11日 16:34	三秦故事汇	【“严书记”的老婆很生气，后果很严重！！！】幼儿园一位老师批评了一名小朋友几句，不料，该小朋友大有来头，是“严书记”的女儿！天呐，这下事情大了。孩子妈妈知道后，勃然大怒，当时就在家长群里发飙起来，然后，老师立即被开除了…… ​​​​PS：话说发这个微博有风险吗？ ​ 展开全文c
05月11日 16:33	啾啾时光如水	成都以及省委公务员这几天热火朝天搞纪念活动，今明天正是重要时刻，结果被地级市的严书记女儿搞臭媒体名声 ​
05月11日 16:33	深海的鱼66	严书记的夫人很生气，后果很严重！ O网页链接 ​
05月11日 16:32	小公主青木	严书记的夫人真的是传说中的猪队友啊……坑老公的一把好手……希望所有贪官都有这种媳妇儿 ​
05月11日 16:31	孜孜女巫	我是第3个申请创建严书记超话的粉丝，还差7人就满足申请条件啦！大家快来戳这里→ O网页链接 帮我加快创建速度吧~ ​
05月11日 16:29	用户6547599377	严书记老婆很生气……后果很严重，老师被开除，小孩被嘉祥提前内定，人民公仆就是这样为人民…… ​
05月11日 16:28	勇2331	@人民日报@澎湃新闻 @清廉蓉城 @中国青年报 @环球时报 严书记的女儿因为在幼儿园欺负小朋友被老师吐槽了一句“真的是够了”，结果错发在了家长群，被严夫人问候“通知你们集团领导来给我解释你对严书记的女儿说这话是什么意思”。我很好奇的是书记都50了为嘛小孩才幼儿园啊，金苹果你是准备完全蔑视《 ​ 展开全文c
05月11日 16:25	敲响天堂之门JY	成都的严书记，你取了一个好老婆，恭喜你！！！！这权利才大哦，想开除老师就开除，想内定就内定 O成都严书记夫人了解一下，实力坑老公的典型 https://bbs.hupu.com/22230731.html ​
05月11日 16:21	哈喽我叫亚索大大	严书记要火了，哈哈哈，这老婆真的。。 2广汉 · 向阳镇 ​
05月11日 16:20	免费写手	把对话时间轴缕了下，老师5点发的消息。严书记的老婆7点前都没看到，是园长把老师辞退了以后再电话，严书记的老婆才开始翻聊天记录。说白了这事院长要啥也不说，就没事了。严妻在得知老师被开除后，还在群里要求对方道歉，对方都不是老师了道歉干嘛？这种嚣张的情绪当场就引起了其他家长不满，其 ​ 展开全文c
05月11日 16:18	用户6511372384	哈哈，孩子他爹是严书记，坑老公的又出来了 2成都 · 华阳镇街区 ​
05月11日 16:13	西安讯点	【“严书记”的老婆很生气，后果很严重！！！】幼儿园一位老师批评了一名小朋友几句，不料，该小朋友大有来头，是“严书记”的女儿！天呐，这下事情大了。孩子妈妈知道后，勃然大怒，当时就在家长群里发飙起来，然后，老师立即被开除了…… ​​​​PS：话说发这个微博有风险吗？ ​
05月11日 16:12	叶叶叶叶叶荞	这几天真是开年大戏空姐坐顺风车死了高校领导跑了我爸是严书记妇女殴打孩子事后装孕妇真是厉害死你们了 ​
05月11日 16:02	可爱麽麽酱	O成都幼儿园老师被开除事件（更新：内定小学 严夫人群内炫耀） 哇~这帖子里的圣母是真的多，老师没做错什么也没有问题，这小孩肯定是屡教不改的，而且家长肯定也知道自己小孩的性格，况且还是在放学后，谈不上孤立，再说了其他小朋友也不是傻子谁愿意和天天打自己的人玩严书记的夫人真的是惹不起哟，好大一匹官哦 ​
05月11日 18:58	徐记观察	#耳朵听时事# 这位严书记，管好你家衙内和泼妇。不然人民群众骂您一句狗官也是理所当然的。党员干部管好家里人也是一种能力。这种能力都没有有什么资格主政一方。 ​
05月11日 18:56	公考语冰老师	周总理曾叮嘱晚辈：“在任何场合都不要说出与我的关系，都不许扛总理亲属的牌子，不要炫耀自己，以谋私利。”转发，学习周总理的十条家规！ ​​​ 和严书记行成鲜明对比 ！ 2保定 · 西关街区 ​
05月11日 18:53	中医放大机	严书记把我吓惨了，我胆子小。 ​
05月11日 18:47	七把刷子0120	哈哈哈哈哈哈，每次都能刷到这样的八卦分享：我爸是严书记(来自 @豆瓣App) O我爸是严书记 ​
05月11日 18:39	文艺少女金树儿	严书记 哈哈哈 ​
05月11日 18:34	抖森前女友	电影里是“黎叔很生气，后果很严重”！现实是：严书记的夫人很生气，后果很严重！！！ ​
05月11日 18:29	三秦公益	【网爆四川某市书记的女儿打同学 老师给其单独安排座位误发家长群却被开除】今日，有网友爆料四川成都市金苹果爱弥儿幼儿园某家长群里，因班上有一个女孩打同学，老师将她单独安排座位的决定误发到了家长群里，随后该女孩的母亲在群里威胁说“我通知你们集团领导来给我解释你对严书记女儿说这话什么意 ​ 展开全文c
05月11日 18:27	记者杜利勇	#中国新闻# 【幼儿园老师因惩罚“严书记”孩子被开除？同事：好好的，没开除】10日，网传成都市一幼儿园老师在家长微信群称“让她（学生）单独坐一边”。该学生母亲称，你对“严书记”女儿说这话是什么意思？后又称该老师已经被开除。老师同事对@北京时间 称，该老师在正常上班，没有被开除。 ​ 展开全文c
