08月28日 20:40	YANZiKAii	妈的怎么全是昆山海龙哥？佛了 ​
08月28日 20:35	男人侧目时	昆山龙哥昔日辉煌！肚子好灵活，是因为里面的肠子吗？ O网页链接 ​
08月28日 20:09	美女微	一入鬼月中元节，微博上天天报命案，滴滴顺风车奸杀案，昆山龙哥砍人掉刀被反杀案，德阳游泳纠纷女医生自杀案…… 滴滴除了刑事就是行业安全管理问题 昆山案是涉黑人员咎由自取报应。德阳女医生自杀案，感觉问题海在于她老公对法律的漠视，对未成人采取暴力殴打是要刑拘的，当地警方竟然没有依法处理 ​
08月28日 22:53	毛土豆儿有点微胖	昆山龙哥nmsl，生前遗言，引起强烈舒适 O网页链接 ​
08月28日 22:47	男人侧目时	前有“湾仔枪神”，一枪打挂洪兴社堂主靓坤！今有“震川刀客”数刀砍死昆山龙哥！新的江湖，新的传奇！ ​
08月28日 22:41	愚乐圈钱显神通	#昆山震川路砍人##昆山龙哥# @苏州网警巡查执法 请问我这边哪里违规了？各位网友看看我的微博，哪里违规了，支持黑社会装b被反杀，难道我发表自己的意见错了嘛？难道你们网警就要支持纹身男拿刀砍人嘛？ 违规了？我错了？ ​
08月28日 22:37	男人侧目时	昆山龙哥，可惜了，可惜了！练了这么多年死一个电动车的刀下了！ O网页链接 ​
08月28日 22:33	公考滨哥	有没有法律人士解答一下：砍死昆山龙哥 是正当防卫 还是 防卫过当？（非法律人士，法律知识不够扎实，特此求教） ​
08月28日 22:27	男人侧目时	各界深切缅怀昆山龙哥 ​
08月28日 22:26	男人侧目时	昆山龙哥这一身功夫白瞎了，死在了无名小卒刀下，江湖一大奇谈。。。。#昆山龙哥# O网页链接 ​
08月28日 22:24	hufaxu	看看昆山龙哥拿刀反被砍死的案子，再看看这个。嗯，难怪美国人在公众场合都客客气气的 L我是二姐夫的秒拍视频 ​​​
08月29日 00:59	泰州新鲜事	昆山龙哥事件告诉我们：在社会上为人处事 不要冲动！ 以和为贵！O网页链接 ​
08月29日 00:53	二半叫子本生	临睡前看了昆山龙哥上单单挑对方脆皮被反杀的视频，瞬间精神了，人就是不能太装逼了。欺负老实人，死在了老实人手里。临终遗言：救命啊。 ​
08月29日 00:50	雷神男士1996	昆山龙哥生前很厉害 2昆山 · 玉山镇 O网页链接 ​
08月29日 00:48	愚乐圈钱显神通	#昆山震川路砍人#很不幸的事情，就是电动车白衣战士受伤了。谁知道在昆山哪个医院？去看望一下。应该有执勤民警重点保护，不然龙哥兄弟会不会报复？不过话说回来，现场的龙哥兄弟都只会拿手机拍视频当网红素材，估计也不敢去医院吧！#昆山龙哥# ​
08月29日 00:34	任陶用	后街女孩的新单曲《买身西服加入犬金组》8月西安首发，节奏带感，舞姿曼妙。BGM：《买身西服加入黑社惠》-未卜乐队Ltttrty90的秒拍视频 #昆山震川路砍人# #昆山龙哥# ​
08月29日 00:31	好男人与怀女人	我正在看【昆山龙哥和他的兄弟们……】，分享给你，一起看吧！ 昆山龙哥和他的兄弟们…… O网页链接 ​
08月29日 00:24	GrowEasy	据说这是那个昆山龙哥，这人本世纪好像就没闲着，一直在犯事儿。这种人是不是精神有问题啊，控制不住自己要违法犯罪。刘海龙、焦伟伟等寻衅滋事罪，刘海龙故意伤害罪一审刑事判决书 O网页链接|%E6%98%86%E5%B1%B1 ​
08月29日 00:03	问佛祖笑到几时方合口头	是不是昆山社会人龙哥？ 2天津·天津远洋未来广场 ​
08月29日 02:53	文哲远Iver	见过一个纹身哥，外地犯案之后为提前从监狱出来吞一块铁导致身体虚弱如鸡，为了自由又坚决不同意把铁取出来。回老家后没收入，再犯的案是持小刀抢劫了同村妇女207元，问话时一手捂着肚子半死不活，随时准备去世。从此看见这些恶狠狠的纹身哥一般觉得可笑。 昆山龙哥的肠子不要扔，裹上面包糠，炸至两面 ​ 展开全文c
08月29日 02:11	用户6209348640	昆山龙哥，走好。 2上海·惠南 ​
08月29日 04:58	行摄香港	【昆山宝马“黑老大”被砍倒地，手捂肠子呼喊“救我”】求救声似猫叫……刘海龙的军师，早就躲进了宝马车内……江苏省苏州市#昆山震川路砍人# O昆山宝马“黑老大”被砍倒地，手捂肠子呼叫“救我” ​
08月29日 04:37	bite_my_shiny_metal_ass	昆山龙哥这件事太黑色幽默了。一方面是所有人对他的死的拍手称道，另一方面是所有人对白衣哥后续担心。说明我们中国人太了解中国了，我们遇到了太多类似的事情，没任何过错却被坏人像狗皮膏药一样粘住。可惜国家大部分时间都在和稀泥，让坏人逍遥法外；前段时间高铁占座哥，那副你奈我何的贱笑中国人太 ​ 展开全文c
08月29日 04:33	安山峡水	有知道这个沈队长是个什么队长的吗？不会生产队队长吧～～#昆山龙哥# ​
08月29日 04:30	圣僧来问我	个人估计昆山龙哥砍人事件一定会引发欧美国家转发报道的。黑社会分子酒后滋事寻衅，演化成带有点娱乐性的奇妙反转。同时也是外媒评估各地落实中央打黑除恶任务是否走形式的一个实例。 2铁岭 · 前双井镇 ​
08月29日 04:29	强师父	【黑道大哥装逼被雷劈的最高境界：砍人反被砍死】昨晚，昆山市一宝马抢电动车道怼到正常行驶的电动车。本来也不是什么大事，但一大花膀子男（人称龙哥，像极黑社会份子）非要装逼啊，先暴打电动车主，觉得不解气，又回车上拿砍刀连砍数刀。结果刀掉地上被电瓶车男子捡起来反击，装逼男被砍死。 。现在 ​ 展开全文c
08月29日 04:18	小炯哥6104057998	【沉痛悼念昆山社会人龙哥🙏，欺负电动车骑车人，行凶未果反被杀，这真是：宝马配宝刀，找死不用烧】用一首赞美赵云的诗送它上路：红光罩体困龙飞，征马冲得长坂围，四十二年真命主，将军因得显神威。 ​ 2从化 · 街口中心区 ​
08月29日 06:57	喽哈199401	#北京观察#【沉痛悼念昆山社会人龙哥🙏，欺负电动车骑车人，行凶未果反被杀，这真是：宝马配宝刀，找死不用烧】用一首赞美赵云的诗送它上路：红光罩体困龙飞，征马冲得长坂围，四十二年真命主，将军因得显神威。 ​​​
08月29日 06:45	圣僧来问我	打黑除恶，除掉昆山龙哥这类渣货比较容易，只要当地政府想除这个团伙的话。咱国内还有一种恶，不象昆山龙哥那些货，不太容易被发现，比如演艺脏圈里的各种玩女人的捞钱的裤子们。他们不象昆山龙哥的黑那种恶那么显眼，他们的恶是利用手中的权利去捞钱去玩女人，这些裤子们，这些兄弟某公司，他们的恶是 ​ 展开全文c
08月29日 06:31	京城的叔	昆山他龙哥就是逆潮流而动的典范。 ​
08月29日 06:01	饶国平	昨天被这位昆山的龙哥刷屏了！真是装B得死死得其所，这个案例可以作为反面典型上教科书。而那些砍人反转时即作鸟兽散，后又对着开膛流肠濒死的龙哥拍照录像发朋友还开闪光灯的＂兄弟＂，你们的良心不疼吗？现在网络上尽是龙哥之前装B的视频和相片，不都是＂兄弟＂手机上流出来的么？这告诫我们，得对 ​ 展开全文c
08月29日 08:56	光谷印象	昆山龙哥被反杀砍死，告诫我们几个道理：永远不要惹把白衬衣扎在黑裤子里的人；男人之间也有塑料友谊，龙哥前龙哥后的真有事还得亲兄弟；龙纹身的不一定是山口组，很可能之前年少时被别人欺负太久的胆小鬼，耸逼导弹在手也是耸逼；追回彩头这种事做的好就追回，追的不好，命都丢了，弊大于利不建议；最 ​ 展开全文c
08月29日 08:55	大买家	昆山震川路宝马哥砍人，视频里龙哥又是打人，又是拿刀的，势如蛟龙出海、猛虎下山，刀子舞得水泼不进，旁人近身不得，奈何强中自有强中手，对方精通战术，分别使用了敌不动我不动，敌欲动我先动，敌进我退，敌驻我扰，敌疲我打，敌退我追等游击战术，将龙哥反杀于闹市。成为了实战中又一个以少胜多，以 ​ 展开全文c
08月29日 08:53	十步8888	昆山有龙哥，人狠兄弟多。 个头一米五，纹身似泼墨。 出门坐宝马，砍刀身旁搁。 狐朋围左右，狗友把酒喝。 某夜酗酒归，撞了电动车。 小弟打前阵，恐吓白衣哥。 白衣不惧怕，据理把事说。 龙哥坐车后，心头起怒火。 何人不长眼，竟敢来惹我。 长身把车下，近前大声喝。 吾是昆山龙，汝不 ​ 展开全文c
08月29日 08:53	YL999的主场	昆山纹身哥刘海龙真不比黑道风云里的刘海柱，，，名字叫龙的还真就是频繁出入宫里的 ​
