2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年01月05日 00:55	old操盘手69	忙了一天、晚上浏览新闻发现开封收养上百孤儿的袁厉害大姐家发生火灾，造成了七死一伤、心中非常难过。去年我还买了八百块钱的方便面托人给她送去、后来她还电话我邀请我到兰考去玩、在我心中一直对她充满敬意、真没想到会遭此大难、好人不得好报阿！为袁大姐祈祷！ ​
2013年01月05日 00:53	莆田潮鞋坊	同样的问题给当地政府，当这些弃婴被人遗弃时，你们在哪？！当官不为民做主，不如回家种番薯！袁厉害卖孩子牟利称穷得没法 O网页链接 @搜狐新闻客户端 ​
2013年01月05日 00:51	我就是1968	【好厉害的袁厉害】2013年1月4日早上8时许，河南兰考县一收养孤儿和弃婴的私人场所发生火灾，目前已造成7名孩童死亡。据现场民警介绍，起火地点为兰考人袁厉害家，多名儿童在火灾中伤亡。据了... --发布到微刊《小小不言》O好厉害的袁厉害 ​
2013年01月05日 00:51	天狼蚀月	#孤儿收养所火灾# “我穷得没法，需要钱养这些孩子的时候，你们又在哪里？”不管真假，袁厉害捅到政府的肺管子了 . 详情:O查看话题详情 ​
2013年01月05日 00:44	假装聪明人	命若垃圾:弃婴王国里的小生命 O网页链接 @搜狐新闻客户端 (4/6)。这个图片以前在凤凰网上看过，很纠心，没想到再次出现在兰考县火灾的相关内容里。不管怎么说袁厉害毕竟作为了，不象我们的官员胡作非为 ​
2013年01月05日 00:43	如你-如我	收养所创办人袁厉害已经被控制，并接受警方讯问调查。以后谁还敢做善事啊？ 【河南起火孤儿所创办人被警方控制接受讯问】原文O河南兰考起火孤儿收养所户主被控制接受调查 评论O网页链接 ​
2013年01月05日 00:43	深圳如此让人蛋痛	【河南村支书指挥百余人深夜强拆72岁老太民房】O河南村支书指挥百余人深夜强拆72岁老太民房_网易新闻【河南兰考一弃婴收养场所发生火灾7名孩童死亡】O河南兰考一弃婴收养场所发生火灾 7人死亡_网易新闻多年来，在河南兰考县人民医院门前摆摊的的袁厉害多年来收养弃婴超过100个，有人赞扬她热心肠，也有人质疑她收养孩子为挣钱。 ​
2013年01月05日 00:42	joanna39	袁厉害收养弃婴孤儿25年照顾过上百名儿童，住在简陋房子靠摆地摊来维持生计。这么多年当地民政局并无任何理会，现在火灾导致多名儿童遇难，却说袁厉害用孤儿骗低保，擅自收养弃婴不合法，难道这就是有关部门给大众的说法？想推卸责任罢了。离去的儿童在人间得不到应有对待，愿在天堂能得到快乐！ ​
2013年01月05日 00:35	mike8479	心酸 // #我在看新闻# 《图片故事：火灾前的兰考弃婴收养所》 袁厉害收养的孩子中最大的如今已结婚工作，离开收养所。 O网页链接 来自@腾讯新闻客户端 ​
2013年01月05日 00:35	天使斐	袁厉害收养的弃婴被烧死了七个，心疼！看了搜狐网上“命如垃圾”的图片，心酸！如果不养，为何要生？！！难道只是为了贪图那一时的享乐？罪恶！！反醒吧，那些给予他(她)生命的人！！！ 我在:2中园路 ​
