2017年10月14日 00:19	乘莹0617	刘大志 陈栋 陈小武 叮当 微笑对轻生者 大声呐喊“我爱你”“我们爱你”“我们都爱你”那么放肆地喊出“我爱你”真是青春记忆中最美好的一个画面 ​
2017年10月14日 20:50	晴空coolgirl_123	昨天下午看完的。#我在未来等你# 看完后开始写作业但是脑海里始终是郝回归 刘大志 微笑 陈桐 陈小武 叮当这几个人在打转，包括昨晚睡觉也是梦到这几个人。每一个人物都很鲜活，仿佛一下把我带进了青春，带进了他们之中。好多地方看着看着就哈哈大笑了，最后看那封信眼睛湿润了。最令我激动的是他们三 ​ 展开全文c
2017年10月14日 22:39	墩墩蹲	今日份幸福。1.和戴村陈小武提前把生日过了，虽然也就吃了顿饭，看了场电影，不过这样就足够了。2.前段时间拍的照片也拿到了。 ​
2017年10月15日 22:53	图图图图图图么么哒	看完了所有的内容和信，很感动，刘大志，郝回归，微笑，陈桐，叮当和陈小武的故事里，有你有我的青春。之前还给同哥发私信问那个电话号码是多少，今天把书看完就翻到了有号码的那一页，当时把这个细节忽略了……那么，同哥，我们武汉见@刘同 ​
2017年10月16日 22:41	左右青春官微	《我在未来等你》上市半月，热烈的反馈从四面八方而来，读者们的感受，字里行间都是真诚又真实的自己刘大志，陈桐，陈小武，微笑，叮当，五人组的青春，这才是真正的中国式热血青春。 ​
2017年10月17日 08:05	白糖的馅的	如何评价北航陈小武？ - 141个回答，1578人关注，O网页链接（想看更多？下载 @知乎 App：知乎） 还是转一下吧 ​
2017年10月17日 10:28	她的话a	『如何评价北航陈小武？ - 知乎』O如何评价北航陈小武？ - 知乎 ​
2017年10月17日 12:49	橘花治秀	#北航陈小武# ​
2017年10月17日 18:44	一勺小小池	知乎敏感词 陈小武 。流氓会武术，谁也挡不住 ​
2017年10月18日 22:12	吴文博ATZ	单发一条试试。陈小武是敏感词吗？北航是敏感词吗？一条微博里两个词条同时出现会被删吗？ ​
2017年10月19日 14:12	初衷丶模样	一起来看 陈小武最Shuffle 的快手视频！ O网页链接 ​
2017年10月20日 22:53	ako_elsa	陈小武被辞退了吗 ​
2017年10月22日 22:25	王同学wj	#我在未来等你-刘同[图书]#终于认真的看完了整本书四个字，感同身受。喜欢所有同哥的文字，慢慢成为一个小迷妹。 书中的每个人都像极了所经历的青春。遇到郝回归那样的老师，拥有叮当微笑 刘大志陈小武陈桐那样的友谊。太多情境历历在目。但愿每个人现在都很好，即使相隔甚远，彼此安好。即使最后并 ​ 展开全文c
